state,x,y
Andhra Pradesh,-69,-125
Arunachal Pradesh,179,110
Assam,138,70
Bihar,45,57
Chhattisgarh,-12,-11
Goa,-138,-120
Gujarat,-184,17
Haryana,-99,117
Himachal Pradesh,-83,164
Jharkhand,29,19
Karnataka,-120,-152
Kerala,-100,-222
Madhya Pradesh,-103,11
Maharashtra,-133,-44
Manipur,168,38
Meghalaya,122,52
Mizoram,156,15
Nagaland,183,65
Odisha,28,-24
Punjab,-116,137
Rajasthan,-158,80
Sikkim,95,87
Tamil Nadu,-75,-188
Telangana,-68,-76
Tripura,121,23
Uttar Pradesh,-55,87
Uttarakhand,-42,131
West Bengal,77,1
